No -class -x_min -x_max -y_min -y_max -x_moy -y_moy -x_ecart -y_ecart -red -blue -green
133 Coco 13903 14097 6339 6528 13997 6431 136.0 57.7 049 245 009 
134 Raphia 11634 11873 3598 3848 11761 3718 72.0 84.5 048 012 010 
135 Coco 8919 9112 7873 8057 9018 7969 64.5 74.4 019 024 010 
136 Coco 710 908 6093 6289 813 6192 50.0 67.3 246 035 010 
137 Raphia 337 590 3335 3579 462 3455 53.2 89.5 245 058 010 
138 Coco 575 766 7333 7520 671 7425 49.1 80.8 216 070 010 
139 Coco 8946 9145 5396 5595 9046 5499 83.8 71.5 187 082 010 
140 Raphia 5362 5589 3339 3564 5474 3459 69.9 50.5 186 105 010 
141 Coco 6797 6971 7395 7579 6879 7486 102.4 121.2 157 117 010 
142 Coco 13136 13334 5345 5533 13231 5440 145.7 101.1 128 129 010 
143 Raphia 13245 13496 3080 3337 13366 3213 77.4 88.2 127 152 010 
144 Coco 889 1094 5077 5279 997 5180 47.0 108.7 069 176 010 
145 Raphia 12931 13169 2853 3104 13048 2983 149.9 87.4 068 199 010 
146 Coco 5706 5874 7152 7323 5799 7242 55.0 118.5 039 211 010 
147 Coco 4605 4803 5103 5296 4703 5198 51.6 76.9 010 223 010 
148 Raphia 9796 10021 2362 2585 9919 2475 69.3 64.4 009 246 010 
149 Coco 868 1069 6604 6798 964 6701 47.1 116.4 236 001 011 
150 Coco 5103 5302 4858 5063 5196 4957 104.7 95.0 207 013 011 
151 Raphia 11024 11276 2353 2611 11156 2468 106.7 70.6 206 036 011 
152 Coco 4586 4781 6592 6785 4685 6683 87.8 120.4 177 048 011 
153 Coco 1259 1439 4595 4781 1353 4690 65.7 70.3 148 060 011 
154 Raphia 12035 12276 2370 2612 12157 2476 122.3 83.9 147 083 011 
155 Raphia 980 1261 2082 2343 1119 2204 58.8 72.5 088 130 011 
156 Coco 9117 9325 5144 5355 9220 5252 121.6 72.0 059 142 011 
157 Coco 2142 2352 4354 4551 2249 4456 62.8 59.1 030 154 011 
158 Raphia 12699 12944 2108 2335 12834 2224 132.3 60.1 029 177 011 
159 Coco 5342 5537 4861 5049 5437 4957 73.3 64.7 000 189 011 
160 Coco 6621 6809 4390 4576 6716 4484 92.6 98.8 227 200 011 
161 Raphia 13390 13634 1859 2098 13511 1971 154.4 51.5 226 223 011 
162 Coco 9810 10000 4879 5063 9902 4972 76.3 53.5 197 235 011 
163 Coco 9376 9562 4343 4545 9472 4443 113.2 95.3 168 247 011 
164 Raphia 110 361 1581 1845 226 1714 50.0 60.7 167 014 012 
165 Coco 2926 3107 4408 4593 3025 4505 80.4 62.1 138 026 012 
166 Coco 3055 3249 3839 4045 3156 3942 40.6 94.4 109 038 012 
167 Raphia 5030 5271 1327 1580 5145 1451 62.4 70.6 108 061 012 
168 Coco 11627 11851 4395 4607 11739 4497 87.7 101.3 079 073 012 
169 Coco 0 155 3646 3843 67 3749 36.7 87.0 050 085 012 
170 Raphia 11490 11751 1345 1615 11627 1466 72.3 57.4 049 108 012 
171 Coco 681 899 3631 3822 790 3726 61.0 88.9 247 131 012 
172 Raphia 219 456 1101 1329 333 1218 52.5 49.1 246 154 012 
173 Coco 8026 8229 3895 4098 8130 3999 97.0 78.9 217 166 012 
174 Coco 6074 6274 3138 3353 6180 3240 101.4 56.4 188 178 012 
175 Raphia 8950 9203 1086 1344 9069 1208 97.1 58.4 187 201 012 
176 Coco 1988 2200 2904 3116 2099 3013 50.6 46.8 129 225 012 
177 Raphia 7869 8123 821 1096 7998 945 130.6 60.1 128 248 012 
178 Coco 8421 8604 3658 3849 8514 3758 61.0 89.6 099 004 013 
179 Coco 11866 12072 3615 3823 11956 3722 147.0 84.6 040 051 013 
180 Coco 1387 1583 2347 2560 1491 2454 64.1 59.6 011 063 013 
181 Raphia 4578 4746 15316 15499 4656 15406 70.9 44.8 010 086 013 
182 Coco 8571 8751 2351 2557 8666 2454 73.3 51.6 208 109 013 
183 Raphia 5576 5733 15320 15498 5654 15415 107.2 78.6 207 132 013 
184 Coco 1599 1796 3102 3306 1696 3204 51.7 53.7 178 144 013 
185 Coco 12930 13131 2134 2327 13020 2238 59.6 63.7 149 156 013 
186 Raphia 13379 13550 14657 14816 13470 14737 138.7 155.9 148 179 013 
187 Coco 13765 13984 3108 3317 13869 3216 166.9 55.0 119 191 013 
188 Coco 11674 11860 1882 2083 11765 1985 113.7 61.0 090 203 013 
189 Raphia 7776 7935 14323 14498 7857 14414 41.3 124.4 089 226 013 
190 Coco 4126 4318 1665 1880 4229 1779 69.6 45.1 031 250 013 
191 Raphia 12016 12173 14352 14521 12094 14439 75.2 144.8 030 017 014 
192 Coco 4690 4877 2603 2798 4777 2700 101.6 71.8 001 029 014 
193 Coco 3519 3721 1115 1325 3623 1221 78.4 52.2 228 040 014 
194 Raphia 13647 13834 13876 14054 13739 13971 121.0 125.0 227 063 014 
195 Coco 1585 1779 2385 2573 1682 2483 46.1 69.1 198 075 014 
196 Coco 7444 7624 881 1089 7530 985 74.2 51.9 169 087 014 
197 Raphia 3087 3263 13572 13748 3179 13656 71.3 127.0 168 110 014 
198 Coco 12312 12535 2385 2607 12422 2500 156.1 58.2 139 122 014 
199 Coco 12839 13037 855 1074 12942 965 71.8 54.8 110 134 014 
200 Raphia 6329 6491 13576 13743 6409 13657 39.8 140.5 109 157 014 
201 Coco 12494 12687 2156 2347 12589 2255 92.5 70.4 080 169 014 
202 Coco 9544 9718 646 842 9628 748 129.6 41.6 051 181 014 
203 Raphia 8060 8221 13569 13730 8142 13655 117.1 63.8 050 204 014 
204 Coco 11251 11436 1375 1577 11343 1477 109.3 66.7 021 216 014 
205 Coco 12498 12689 360 567 12584 468 79.5 48.1 248 227 014 
206 Raphia 9803 9965 13580 13748 9880 13661 131.1 96.8 247 250 014 
207 Coco 8679 8871 1129 1340 8772 1241 114.4 44.8 218 006 015 
208 Raphia 11271 11429 13567 13731 11353 13646 133.9 85.7 188 041 015 
209 Coco 12708 12921 1132 1337 12811 1236 114.1 52.7 159 053 015 
210 Coco 2669 2868 0 117 2766 47 78.1 31.9 130 065 015 
211 Raphia 2040 2197 13320 13488 2112 13402 60.9 128.4 129 088 015 
212 Coco 2560 2777 380 612 2668 494 82.4 53.7 100 100 015 
213 Coco 2251 2375 15841 15899 2326 15879 72.9 143.9 071 112 015 
214 Raphia 12728 12880 13358 13515 12806 13431 88.9 122.7 070 135 015 
215 Coco 1921 2094 0 71 2010 26 69.2 18.7 041 147 015 
216 Coco 14254 14399 15710 15899 14341 15809 102.5 116.8 012 159 015 
217 Raphia 12644 12811 13099 13271 12731 13179 119.2 51.1 011 182 015 
218 Coco 2188 2379 0 100 2283 30 66.0 22.9 238 193 015 
219 Coco 9571 9758 15330 15529 9669 15426 89.2 61.9 209 205 015 
220 Raphia 8838 8995 12831 12998 8917 12909 68.8 149.0 208 228 015 
221 Coco 954 1163 15799 15899 1068 15873 55.5 76.9 179 240 015 
222 Coco 976 1189 15072 15289 1086 15179 48.2 170.1 150 252 015 
223 Raphia 13333 13498 12855 13014 13413 12932 142.3 162.8 149 019 016 
224 Coco 7448 7648 15798 15899 7552 15870 91.8 93.3 120 031 016 
225 Coco 4216 4423 15069 15296 4319 15183 94.4 130.3 091 043 016 
226 Raphia 7278 7447 12576 12749 7361 12661 72.3 157.7 090 066 016 
227 Coco 4442 4645 14768 14990 4550 14877 90.0 141.2 032 090 016 
228 Raphia 12734 12909 12584 12747 12819 12672 143.6 161.3 031 113 016 
229 Coco 7360 7554 15377 15604 7456 15484 120.2 150.8 002 125 016 
230 Coco 8747 8941 14343 14550 8849 14450 115.4 125.7 229 136 016 
231 Raphia 3489 3645 12327 12486 3571 12404 56.5 54.0 228 159 016 
232 Coco 13342 13530 15469 15675 13431 15570 63.3 76.6 199 171 016 
233 Coco 8653 8855 14042 14248 8753 14145 134.3 166.1 170 183 016 
234 Coco 3772 3969 15079 15271 3873 15172 76.1 170.4 140 218 016 
235 Coco 8925 9109 14032 14229 9022 14134 116.2 139.9 111 230 016 
236 Raphia 5572 5739 11833 11999 5658 11909 59.0 139.9 110 253 016 
237 Coco 11197 11378 15133 15329 11289 15228 143.5 123.9 081 009 017 
238 Coco 12893 13103 13829 14033 12998 13932 83.7 156.5 052 021 017 
239 Coco 4130 4313 14608 14831 4222 14728 84.9 109.1 022 056 017 
240 Coco 12808 13011 13570 13766 12909 13668 115.8 152.5 249 067 017 
241 Raphia 5366 5520 11091 11241 5446 11170 40.1 127.3 248 090 017 
242 Coco 1251 1447 14114 14311 1351 14217 43.5 136.6 219 102 017 
243 Coco 2419 2611 13049 13247 2511 13151 56.3 134.7 190 114 017 
244 Raphia 567 735 10850 11003 655 10928 45.6 93.9 189 137 017 
245 Coco 9144 9341 14094 14315 9241 14203 101.9 115.2 160 149 017 
246 Coco 3129 3336 12828 13050 3227 12941 87.7 70.8 131 161 017 
247 Raphia 12974 13135 10846 11012 13060 10924 158.3 150.1 130 184 017 
248 Coco 5432 5611 13831 14036 5521 13930 52.2 64.4 101 196 017 
249 Coco 8339 8511 12777 12963 8420 12868 60.0 108.7 072 208 017 
250 Coco 10564 10750 13834 14042 10656 13936 79.2 126.7 042 243 017 
251 Coco 320 527 12539 12726 423 12629 50.4 110.4 013 255 017 
252 Raphia 927 1095 10353 10506 1004 10433 54.8 140.1 012 022 018 
253 Coco 8784 8965 13540 13719 8881 13628 111.2 126.1 239 033 018 
254 Coco 12243 12440 12541 12739 12342 12634 134.8 68.3 210 045 018 
255 Raphia 7632 7804 10337 10514 7714 10427 117.9 100.3 209 068 018 
256 Coco 1645 1856 13029 13241 1749 13132 68.7 101.7 180 080 018 
257 Coco 682 892 12086 12289 791 12189 56.2 156.2 151 092 018 
258 Raphia 285 457 9868 10020 371 9941 41.2 98.4 150 115 018 
259 Coco 8812 9015 12081 12274 8916 12179 139.3 127.9 092 139 018 
260 Raphia 12431 12613 9848 10009 12519 9931 146.2 118.0 091 162 018 
261 Coco 6812 7009 12546 12739 6908 12641 99.9 74.4 062 174 018 
262 Coco 2339 2539 11855 12049 2442 11953 66.3 120.3 033 186 018 
263 Raphia 13432 13591 9858 10007 13513 9930 60.7 137.1 032 209 018 
264 Coco 7775 7955 12627 12826 7860 12723 47.5 116.2 003 221 018 
265 Coco 12707 12902 11582 11761 12808 11665 141.2 103.2 230 232 018 
266 Raphia 224 378 9613 9770 298 9691 35.0 69.8 229 255 018 
267 Coco 8990 9193 11632 11841 9091 11734 94.2 96.9 200 011 019 
268 Coco 13634 13843 11580 11786 13746 11684 135.1 120.7 171 023 019 
269 Raphia 6529 6694 9107 9271 6610 9190 112.6 131.5 170 046 019 
270 Coco 11124 11331 11387 11612 11225 11494 145.0 81.5 141 058 019 
271 Coco 14380 14399 11332 11393 14393 11355 121.9 107.5 112 070 019 
272 Raphia 8763 8932 9109 9265 8848 9187 87.6 104.7 111 093 019 
273 Coco 7804 7994 10797 10986 7896 10891 96.0 53.6 082 105 019 
274 Coco 3398 3584 11098 11273 3500 11179 43.2 110.6 053 117 019 
275 Raphia 4733 4897 8853 9026 4812 8941 98.3 41.3 052 140 019 
276 Coco 9241 9438 10791 10976 9345 10883 80.8 115.3 023 152 019 
277 Coco 7298 7506 11095 11295 7400 11192 116.0 119.7 250 163 019 
278 Raphia 5234 5392 8861 9025 5310 8944 83.5 57.8 249 186 019 
279 Coco 11105 11316 10397 10616 11207 10498 136.5 107.9 220 198 019 
280 Coco 0 168 10610 10809 75 10712 40.7 102.2 191 210 019 
281 Raphia 2924 3077 6887 7031 3000 6956 36.7 121.6 190 233 019 
282 Coco 12608 12823 10382 10586 12715 10478 75.7 140.8 161 245 019 
283 Coco 4780 4978 10078 10282 4879 10187 108.0 132.1 132 001 020 
284 Raphia 10116 10273 6879 7036 10191 6961 98.2 55.1 131 024 020 
285 Coco 11897 12107 9811 10022 11991 9919 148.6 63.4 073 048 020 
286 Raphia 12837 12996 6887 7031 12914 6959 39.0 54.5 072 071 020 
287 Coco 3811 4019 10143 10354 3914 10244 85.4 139.6 043 083 020 
288 Coco 7056 7251 9321 9512 7148 9418 123.0 100.7 014 095 020 
289 Raphia 13758 13940 6618 6790 13846 6706 155.5 91.9 013 118 020 
290 Coco 8287 8485 9367 9544 8386 9453 96.6 81.2 211 141 020 
291 Raphia 3758 3935 6362 6538 3851 6454 89.0 72.4 210 164 020 
292 Coco 11487 11679 9794 9990 11580 9890 99.6 126.0 181 176 020 
293 Coco 9029 9222 9078 9259 9128 9170 68.9 87.3 152 188 020 
294 Raphia 0 121 6127 6290 37 6209 24.5 113.0 151 211 020 
295 Coco 9885 10068 8842 9026 9975 8938 127.8 106.1 093 235 020 
296 Raphia 6354 6523 5873 6052 6435 5961 83.8 80.7 092 002 021 
297 Coco 12664 12884 8828 9019 12774 8928 118.5 85.0 034 026 021 
298 Raphia 10317 10488 5893 6058 10397 5972 101.8 95.6 033 049 021 
299 Coco 3840 4043 8545 8756 3940 8654 68.3 73.7 004 061 021 
300 Coco 13410 13632 8859 9057 13524 8954 161.4 124.7 231 072 021 
301 Raphia 12969 13135 5634 5806 13058 5718 160.9 55.3 230 095 021 
302 Coco 940 1162 8048 8262 1053 8161 52.8 97.4 201 107 021 
303 Raphia 13720 13893 5633 5799 13805 5717 89.3 87.7 171 142 021 
304 Coco 1535 1725 8096 8272 1633 8190 59.1 70.0 142 154 021 
305 Coco 4821 5028 8311 8509 4917 8410 98.3 69.8 113 166 021 
306 Raphia 13973 14145 5624 5797 14061 5713 117.3 71.9 112 189 021 
307 Coco 2456 2653 8156 8344 2558 8251 62.7 119.6 083 201 021 
308 Coco 5448 5638 7843 8023 5545 7934 82.8 117.3 054 213 021 
309 Coco 0 90 7809 7997 30 7915 23.2 112.4 024 248 021 
310 Coco 7348 7559 7580 7784 7458 7680 105.3 129.8 251 003 022 
311 Raphia 4224 4400 5387 5551 4311 5462 98.2 96.4 250 026 022 
312 Coco 13547 13743 7667 7854 13647 7755 107.3 128.7 221 038 022 
313 Coco 8310 8494 7593 7775 8397 7677 112.7 124.5 192 050 022 
314 Raphia 2923 3075 5132 5292 2992 5209 47.0 105.4 191 073 022 
315 Coco 8707 8923 7388 7595 8817 7491 103.1 91.2 162 085 022 
316 Coco 3740 3943 7074 7250 3839 7161 80.9 39.6 103 132 022 
317 Coco 2150 2359 6828 7020 2248 6924 75.2 119.4 074 144 022 
318 Raphia 13755 13926 4894 5062 13846 4977 124.6 89.0 073 167 022 
319 Coco 3309 3526 6867 7066 3421 6961 61.4 59.6 044 179 022 
320 Coco 5090 5291 6863 7064 5189 6969 109.0 59.4 015 191 022 
321 Raphia 10749 10917 3912 4065 10830 3986 135.7 71.3 014 214 022 
322 Coco 11506 11692 6670 6850 11600 6757 148.5 116.5 241 225 022 
323 Coco 8567 8764 6874 7062 8665 6968 131.6 106.8 212 237 022 
324 Raphia 2721 2901 3645 3810 2811 3722 60.4 90.0 211 004 023 
325 Coco 12312 12534 6623 6821 12418 6722 134.1 55.6 182 016 023 
326 Coco 12542 12737 6857 7038 12633 6950 81.8 119.3 153 028 023 
327 Raphia 12400 12567 3647 3825 12488 3736 119.7 60.2 152 051 023 
328 Coco 1176 1399 6352 6543 1288 6445 50.8 69.2 123 063 023 
329 Coco 0 9 6653 6748 2 6701 2.9 83.1 094 075 023 
330 Raphia 10778 10955 3141 3320 10865 3233 144.8 71.2 093 098 023 
331 Coco 4014 4233 6308 6500 4121 6403 76.6 87.2 064 110 023 
332 Coco 2063 2259 6605 6780 2155 6692 68.5 96.8 035 122 023 
333 Raphia 465 620 2643 2808 542 2725 32.8 50.4 034 145 023 
334 Coco 12219 12413 6408 6596 12316 6500 81.3 112.8 005 157 023 
335 Coco 785 986 6327 6528 880 6428 55.2 119.7 232 168 023 
336 Raphia 4620 4770 2400 2564 4695 2481 80.7 49.8 231 191 023 
337 Coco 4115 4314 6132 6322 4212 6226 90.1 62.2 202 203 023 
338 Coco 3012 3220 6346 6532 3111 6431 51.3 105.4 173 215 023 
339 Raphia 4290 4455 2145 2322 4373 2230 76.7 45.8 172 238 023 
340 Coco 6191 6409 6081 6276 6297 6174 116.3 111.8 143 250 023 
341 Coco 9584 9787 5879 6085 9694 5974 112.9 94.4 114 006 024 
342 Raphia 9024 9173 2149 2314 9097 2228 128.1 64.2 113 029 024 
343 Coco 9444 9622 6146 6326 9529 6231 122.7 80.7 084 041 024 
344 Coco 12248 12448 5871 6063 12351 5966 111.4 75.6 055 053 024 
345 Raphia 10426 10599 1900 2078 10513 1992 55.2 67.1 054 076 024 
346 Coco 12890 13114 6149 6361 13000 6254 104.1 86.6 025 088 024 
347 Coco 11878 12070 5398 5586 11974 5496 150.7 96.5 252 099 024 
348 Raphia 10357 10522 1649 1828 10442 1740 54.9 59.4 251 122 024 
349 Coco 4149 4349 5853 6052 4246 5960 66.2 52.9 222 134 024 
350 Raphia 5257 5421 1156 1315 5338 1232 86.6 55.5 192 169 024 
351 Coco 8751 8952 5368 5569 8843 5469 77.4 70.4 163 181 024 
352 Coco 14194 14380 4612 4798 14280 4697 123.8 73.7 134 193 024 
353 Raphia 7240 7407 1136 1323 7322 1223 77.7 56.3 133 216 024 
354 Coco 5080 5274 5135 5333 5179 5235 75.9 95.8 104 228 024 
355 Coco 840 1050 4094 4298 946 4196 53.8 91.8 075 240 024 
